file_name,hue_mean,saturation_mean,value_mean,hue_std,saturation_std,value_std,texture_contrast
pisang_03_setengah_matang.jpeg,13.5885,76.16953333333333,229.99071111111112,17.104206466863968,97.63561481688488,43.14982917881585,[[95.32095875]]
pisang_04_terlalu_matang.jpeg,31.40818888888889,46.794133333333335,218.35925555555556,7.762947152831476,69.11430803003898,60.43288280675258,[[139.77447046]]
pisang_05_mentah.jpg.jpeg,9.377922222222223,20.4355,244.23475555555555,20.855931405572626,52.22436144788071,25.21406663939402,[[17.56186176]]
pisang_01_matang.jpeg,9.024722222222222,53.48858888888889,237.05365555555557,16.851479985467666,85.04706437423593,18.468913791474407,[[17.27701226]]
pisang_06_mentah.jpeg,16.58221111111111,35.34528888888889,238.45885555555554,24.707912749650077,66.85015979391598,32.804567710766236,[[52.23913043]]
pisang_02_matang.jpeg,36.58138888888889,100.91223333333333,182.33604444444444,41.43425016770397,106.94968005412119,50.70810396243081,[[63.46462653]]
pisang_07_matang.jpeg,11.106211111111111,69.87752222222223,244.25671111111112,19.249279850306923,105.09792972522,26.44865317858336,[[23.33548495]]
pisang_08_terlalu_matang.jpeg,6.650711111111111,44.37265555555555,222.53653333333332,18.896840345673574,76.74669551375719,63.93763366475873,[[253.99324415]]
pisang_09_terlalu_matang.jpeg,34.3144,21.971255555555555,220.20227777777777,52.894956883913906,46.634990039445015,67.08301577838343,[[110.48122631]]
pisang_10_matang.jpeg,10.263566666666666,66.04072222222223,237.20147777777777,20.541844809261356,99.664199509768,36.31372063979484,[[196.12649944]]
